run_id,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
1,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031308605686419,0.7031308605686419,0.0,2.440042018890381,65.0,"[0,1,2,3,4]","[1,11,21,30,31,51,65,74,76,98]",-0.8308900054676253,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",70.31308605686439,1.4172992761970082,7.037865231704972,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
2,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.6068866035595804,0.6068866035595804,0.0,3.040560007095337,969.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308900054676266,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",60.68866035595864,1.4172992761970082,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
3,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.522034415216023,0.522034415216023,0.0,6.1868791580200195,6144.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8308900054676264,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",52.20344152160291,1.4172992761970082,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
4,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031308605686419,0.7031308605686419,0.0,2.4318690299987793,779.0,"[0,1,2,3,4,42,47]","[1,11,21,30,31,51,65,74,76,98]",-0.8308900054676251,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0,""42"":0.0,""47"":0.0}",70.31308605686436,1.4172992761970078,7.037865231704972,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
5,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.6068866035595839,0.6068866035595839,0.0,14.212243795394897,8838.0,"[0,1,2,3,4,32,45]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308900054676268,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0,""32"":0.0,""45"":0.0}",60.68866035595864,1.4172992761970085,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
6,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.522034415216023,0.522034415216023,0.0,37.03894591331482,63507.0,"[0,1,2,3,4,8,10]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8308900054676261,"{""0"":1.0,""1"":0.9999999999999998,""2"":1.0,""3"":0.9999999999999997,""4"":0.9999999999999998,""8"":0.0,""10"":0.0}",52.20344152160292,1.4172992761970082,7.037865231704969,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
7,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031308605686419,0.7031308605686419,0.0,2.0898849964141846,5674.0,"[0,1,2,3,4,6,20,29]","[1,11,21,30,31,51,65,74,76,98]",-0.8308900054676275,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0,""6"":0.0,""20"":0.0,""29"":0.0}",70.31308605686442,1.4172992761970085,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
8,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.6068866035595839,0.6068866035595839,0.0,6.847933053970337,16178.0,"[0,1,2,3,4,6,9,47]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308900054676267,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0,""6"":0.0,""9"":0.0,""47"":0.0}",60.68866035595864,1.4172992761970085,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
9,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,OPTIMAL,True,0.522034415216023,0.5220343970446493,3.48087658771146e-08,100.4147481918335,143153.0,"[0,1,2,3,4,11,43]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8308900054676258,"{""0"":1.0000000000000002,""1"":1.0,""2"":1.0000000000000002,""3"":1.0000000000000002,""4"":0.9999999999999999,""11"":0.0,""43"":0.0}",52.203441521602905,1.4172992761970082,7.037865231704968,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
10,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6474573342482159,0.6474573342482159,0.0,0.15401196479797363,1.0,"[0,1,2,3,4]","[24,25,34,36,42,46,60,65,82,99]",0.39498461511217664,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",64.74573342482482,1.4119426549704734,7.935919414667993,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
