run_id,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
11,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5614502907468442,0.5614502907468442,0.0,2.4911839962005615,391.0,"[0,1,2,3,4]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.39498463581178656,"{""0"":1.0,""1"":1.0000000125270014,""2"":0.9999999817128117,""3"":1.0,""4"":0.9999999852721878}",56.145029670677225,1.4119426242472242,7.935919212675128,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
12,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.4841941149377611,0.4841941149377611,0.0,3.4111459255218506,3911.0,"[0,1,2,3,4]","[12,20,21,23,24,25,27,34,36,42,46,52,60,65,72,78,79,82,92,99]",0.3949846740782332,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0000000195042347,""4"":1.0}",48.419412009592264,1.4119426473790633,7.935919552486735,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
13,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6474573241627741,0.6474573241627741,0.0,0.24286699295043945,1.0,"[0,1,2,3,4,42,44]","[24,25,34,36,42,46,60,65,82,99]",0.3949846110640503,"{""0"":1.0000000013390822,""1"":1.0,""2"":1.0,""3"":1.0000000041002786,""4"":1.000000002383977,""42"":1.4214310735578768e-09,""44"":4.397086848285781e-09}",64.74573285529432,1.4119426488690323,7.935919397490485,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
14,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5614494576583624,0.5614494576583624,0.0,4.8743109703063965,3174.0,"[0,1,2,3,4,45]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.39498481949488146,"{""0"":0.999999366683413,""1"":0.9999994708183091,""2"":0.9999997496327164,""3"":0.99999905407686,""4"":0.9999995658936779,""45"":1.023380701336939e-06}",56.14494623262256,1.4119419993571392,7.935920176038001,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
15,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.48419373361001306,0.48419373361001306,0.0,20.845739126205444,25621.0,"[0,1,2,3,4,6,45]","[12,20,21,23,24,25,27,34,36,42,46,52,60,65,72,78,79,82,92,99]",0.39498480213966336,"{""0"":0.9999998246310925,""1"":0.9999998318754987,""2"":1.0000002388161378,""3"":0.9999996472035467,""4"":0.9999997204132113,""6"":0.0,""45"":2.9814447345897276e-07}",48.41939047397007,1.4119423586683837,7.935918084424302,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
16,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.6474573262822734,0.6474573262822734,0.0,0.2368459701538086,1.0,"[0,1,2,3,4,12,36,39,45]","[24,25,34,36,42,46,60,65,82,99]",0.3949846132524718,"{""0"":1.000000003918448,""1"":0.9999999970711145,""2"":1.0000000013044843,""3"":0.9999999941251229,""4"":0.9999999974981032,""12"":1.5105419467073962e-09,""36"":5.935763986456404e-09,""39"":-3.0168024436456367e-09,""45"":1.1612751042304581e-09}",64.74573271174386,1.41194264606935,7.935919392557679,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
17,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.5614495772505173,0.5614495772505173,0.0,6.245904922485352,7733.0,"[0,1,2,3,4,7,15,40]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.39498481262956964,"{""0"":0.9999996171657475,""1"":0.9999994954867032,""2"":1.0000001430868524,""3"":0.9999995824826624,""4"":0.9999997187223372,""7"":-1.4063873170820615e-07,""15"":2.346189044726498e-07,""40"":7.501265072451979e-07}",56.14496287538613,1.411942111831669,7.935920086392786,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
18,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,INFEASIBLE,False,,,,1.778097152709961,1.0,,,,,,,,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
19,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6966556870613516,0.6966556870613516,0.0,0.8902149200439453,1.0,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",1.0429865000927594,"{""0"":1.0,""1"":0.9999999975255947,""2"":1.0000000016800659,""3"":0.9999999978834104,""4"":1.0}",69.66556878945518,1.6679185000118677,10.411496292257668,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
20,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5819056847638109,0.5819056847638109,0.0,2.9614717960357666,457.0,"[0,1,2,3,4]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.0429865586058649,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",58.19057722249737,1.667918504562505,10.411496417257515,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
