run_id,formulation,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
11,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.559746253279588,0.559746253279588,0.0,1.1110270023345947,948.0,"[0,1,2,3,4]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.39276899635318835,"{""0"":0.9988649758658439,""1"":0.9973633496920189,""2"":1.0036057817482302,""3"":0.9943589901416905,""4"":0.9989122828445779}",55.97462532795811,1.409824666267782,7.924461350422693,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
12,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.48255579346905364,0.48255579346905364,0.0,5.140147924423218,5753.0,"[0,1,2,3,4]","[12,20,21,23,24,25,27,34,36,42,46,52,60,65,72,78,79,82,92,99]",0.3927689963531882,"{""0"":0.9988649758658433,""1"":0.9973633496920188,""2"":1.0036057817482302,""3"":0.9943589901416902,""4"":0.998912282844578}",48.25557934690478,1.4098246662677822,7.924461350422692,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
13,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6412161649790313,0.6412161649790313,0.0,5.3159730434417725,7829.0,"[0,1,2,3,4,32,38]","[24,25,34,42,46,52,60,65,82,99]",0.3956461791280791,"{""0"":0.9988507289946701,""1"":0.9960955902709481,""2"":1.004065959209761,""3"":0.9885813085643503,""4"":0.9934007302690416,""32"":-0.016192351752165747,""38"":-0.0173243135942347}",64.12161649790332,1.404458828569287,7.914891205107786,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
14,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5557199962405193,0.5557199962405193,0.0,34.29050898551941,98996.0,"[0,1,2,3,4,32,38]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.3942889988245848,"{""0"":0.9970762164583866,""1"":0.9956606840608566,""2"":1.0047823638151674,""3"":0.9886742346507763,""4"":0.9953239761477058,""32"":-0.014802123008628147,""38"":-0.01735386136143842}",55.57199962405117,1.404497637698381,7.91238568154098,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
15,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.47795823272655724,0.47795823272655724,0.0,199.31775879859924,631640.0,"[0,1,2,3,4,32,38]","[12,20,21,23,24,25,27,34,36,42,46,52,60,65,72,78,79,82,92,99]",0.3956461791280787,"{""0"":0.9988507289946689,""1"":0.9960955902709477,""2"":1.0040659592097607,""3"":0.9885813085643501,""4"":0.9934007302690421,""32"":-0.016192351752165546,""38"":-0.017324313594234822}",47.7958232726547,1.404458828569287,7.914891205107787,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
16,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.6351402097691157,0.6351402097691157,0.0,35.275643825531006,117434.0,"[0,1,2,3,4,20,32,37,38]","[24,25,34,42,46,52,60,65,82,99]",0.3951969780446014,"{""0"":0.9935720000730048,""1"":0.9863864360093391,""2"":1.0136735230916978,""3"":0.9781030785522935,""4"":0.9880913412386141,""20"":-0.015067167930127775,""32"":-0.020343279972242355,""37"":0.01769676879934362,""38"":-0.017983114026814573}",63.51402097691189,1.3979054102049324,7.892341498605029,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
17,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,TIME_LIMIT,False,0.5491806770256531,0.543647895619074,0.010074610484375518,300.017019033432,1212596.0,"[0,1,2,3,4,20,32,37,38]","[12,23,24,25,34,36,42,46,52,60,65,78,82,92,99]",0.3951969780446018,"{""0"":0.9935720000730045,""1"":0.9863864360093393,""2"":1.0136735230916978,""3"":0.9781030785522932,""4"":0.9880913412386139,""20"":-0.01506716793012786,""32"":-0.02034327997224262,""37"":0.01769676879934364,""38"":-0.01798311402681455}",54.9180677025642,1.3979054102049326,7.892341498605029,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
18,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,TIME_LIMIT,False,0.47152279955497534,0.425310019916333,0.09800751879285181,300.0197458267212,803765.0,"[0,1,2,3,4,20,32,37,38]","[12,21,23,24,25,27,33,34,36,42,46,52,60,65,72,78,79,82,92,99]",0.39519697804460197,"{""0"":0.9935720000730038,""1"":0.9863864360093393,""2"":1.0136735230916978,""3"":0.9781030785522935,""4"":0.9880913412386142,""20"":-0.015067167930127995,""32"":-0.020343279972242372,""37"":0.017696768799343565,""38"":-0.0179831140268144}",47.15227995549765,1.3979054102049326,7.892341498605029,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
19,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.693303299696904,0.693303299696904,0.0,0.9700000286102295,251.0,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",1.0523490883058715,"{""0"":0.9999355739904668,""1"":0.9994053922766702,""2"":1.0152060878558988,""3"":1.0026194713682703,""4"":1.0042498767287276}",69.33032996968915,1.6650775990764075,10.417377524617423,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
20,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5787276493982638,0.5787276493982638,0.0,1.4140880107879639,937.0,"[0,1,2,3,4]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.0505167567330644,"{""0"":0.9988099830989181,""1"":0.9984744011963614,""2"":1.015587146846957,""3"":0.9990340107178513,""4"":0.9986796045068868}",57.8727649398255,1.6647888499234984,10.410271436327854,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
