run_id,formulation,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
1,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6759481502040556,0.6759481502040556,0.0,0.8682491779327393,655.0,"[0,1,2,3,4]","[1,11,21,30,31,65,74,76,86,98]",-0.5890428083218429,"{""0"":1.1131706357238687,""1"":1.027323646883944,""2"":1.0287907504769758,""3"":0.9862230689215463,""4"":1.0981659181969752}",67.59481502040559,1.4153213212154856,7.4224588856955,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
2,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5816878965767287,0.5816878965767287,0.0,3.0486719608306885,2450.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,48,51,65,74,76,86,87,98]",-0.5953742362452147,"{""0"":1.115777399498992,""1"":1.0432037825214677,""2"":1.020453887906934,""3"":0.9744031490019314,""4"":1.1180665254640507}",57.87290998228654,1.4160200752517347,7.439663049030615,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
3,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.49443872004643685,0.49443872004643685,0.0,2.3760600090026855,11425.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.6273082883887269,"{""0"":1.1122198621745782,""1"":1.0949684762040464,""2"":1.0699741424507438,""3"":0.9532155613027096,""4"":1.1751207096318583}",49.44387200464371,1.4242358370004553,7.525280948910162,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
4,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6247307962975717,0.6247307962975717,0.0,2.9235708713531494,6337.0,"[0,1,2,3,4,16,42]","[1,11,21,30,47,51,65,74,76,98]",-0.7992631517632471,"{""0"":0.9463980211025161,""1"":1.1744439713070003,""2"":1.0372097811935053,""3"":1.025939202797691,""4"":0.814729398081159,""16"":0.24702395066696273,""42"":-0.28051915804864047}",62.47307962975719,1.3403142580581362,6.899769076843657,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
5,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5320703106100189,0.5320703106100189,0.0,15.194082975387573,51536.0,"[0,1,2,3,4,6,21]","[1,7,11,21,23,30,47,48,51,61,65,74,76,86,98]",-0.5879000586218018,"{""0"":1.0071854228845873,""1"":1.1334521548511027,""2"":0.9209296869807362,""3"":1.1371081028199528,""4"":0.9867045539509826,""6"":-0.23161871426439626,""21"":-0.34964987873135417}",53.126909614274325,1.390397586919783,7.709730405015259,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
6,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.4470027531259559,0.4470027531259559,0.0,100.51297688484192,349474.0,"[0,1,2,3,4,6,21]","[1,7,11,18,21,23,30,31,47,48,51,59,61,65,74,76,85,86,89,98]",-0.6439093452857994,"{""0"":1.058000914022681,""1"":1.0747499809440613,""2"":1.0543169370264254,""3"":1.1266611650948275,""4"":1.0400515733306113,""6"":-0.30539566981784383,""21"":-0.30877804675777}",43.98180296878047,1.3958837313363006,7.727353292356896,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
7,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.5837194070866323,0.5837194070866323,0.0,16.274138927459717,35651.0,"[0,1,2,3,4,12,14,16,42]","[11,21,23,30,47,51,65,74,76,98]",-0.7358683293743356,"{""0"":0.9234189253407348,""1"":1.1283183575698195,""2"":0.9142747371274993,""3"":1.0510071853562273,""4"":0.7381160263122892,""12"":0.2592733787925607,""14"":-0.22184067389557793,""16"":0.24454259395132188,""42"":-0.22577464980523723}",57.92468781782928,1.2859840527731163,6.741090711170544,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
8,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.4904218517724892,0.4904218517724892,0.0,161.3400330543518,450922.0,"[0,1,2,3,4,6,11,21,42]","[1,7,11,21,23,30,47,51,61,65,74,76,85,86,98]",-0.7851958827267881,"{""0"":0.9094382977219678,""1"":1.1749409991264286,""2"":0.9227236865646451,""3"":1.0459194447039317,""4"":0.9449252048122275,""6"":-0.23093677340334334,""11"":-0.14450343288145562,""21"":-0.29596146438235776,""42"":-0.29724233678213147}",48.73675591089544,1.3399987129782907,7.2952010445214714,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
9,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,TIME_LIMIT,False,0.41185625182140173,0.33404394977090357,0.18893072936583918,300.01128911972046,603493.0,"[0,1,2,3,4,6,11,21,42]","[1,7,11,18,21,23,30,31,47,48,51,59,61,65,74,76,85,86,89,98]",-0.7844754031882273,"{""0"":0.9075627307844955,""1"":1.1731316496899704,""2"":0.9213218030473158,""3"":1.0440468333343416,""4"":0.9454403660152708,""6"":-0.23001599768035558,""11"":-0.14752777886185905,""21"":-0.2930330750193444,""42"":-0.29675299858334636}",39.67900520208822,1.340037641124041,7.29579870615122,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
10,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.617599493031286,0.617599493031286,0.0,2.8491268157958984,3270.0,"[0,1,2,3,4]","[24,25,34,36,42,46,52,60,65,99]",0.5057957839835237,"{""0"":1.0014303087385532,""1"":0.8308431158723261,""2"":0.9666071105127919,""3"":0.8229511632936138,""4"":0.8564245099729831}",61.59462393250684,1.3907424945826075,8.090413973561844,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
11,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5211772869046251,0.5211772869046251,0.0,1.702760934829712,4230.0,"[0,1,2,3,4]","[12,23,24,25,34,36,42,46,52,60,65,78,82,92,99]",0.496207015211724,"{""0"":0.8697985261376675,""1"":0.7296703098063149,""2"":0.9608051140860533,""3"":0.6695874017877725,""4"":1.0592483353214015}",51.564107733391026,1.399542657274352,8.253128708905107,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
12,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.4430881847242999,0.4430881847242999,0.0,3.7738380432128906,7148.0,"[0,1,2,3,4]","[12,16,20,21,23,24,25,33,34,36,42,46,52,60,65,78,79,82,92,99]",0.47986639940023385,"{""0"":0.9565881286434265,""1"":0.8686103081126608,""2"":0.9594092780230196,""3"":0.7899168398809586,""4"":0.8397163197716122}",44.14360166556993,1.386927309771288,8.02297643874745,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
13,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.5726270568960148,0.5726270568960148,0.0,8.091551065444946,5366.0,"[0,1,2,3,4,16,37]","[24,25,34,36,42,46,60,65,82,99]",0.4566523864001236,"{""0"":1.0134702269418947,""1"":0.8792912292294495,""2"":0.9587664563285407,""3"":0.8289892602999829,""4"":0.9508798247395819,""16"":-0.25699421389664595,""37"":0.15662993887398458}",57.26270568960148,1.3605472957282914,8.375826164179353,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
14,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.47248954576289687,0.47248954576289687,0.0,11.736255884170532,21438.0,"[0,1,2,3,4,16,37]","[12,23,24,25,34,36,42,46,52,60,65,78,82,92,99]",0.4003464680469741,"{""0"":1.0076696244778711,""1"":0.8871629218606746,""2"":0.9554217695157988,""3"":0.7786331873672334,""4"":1.004678661841755,""16"":-0.24326195847433163,""37"":0.21278865139654168}",47.145420763969796,1.3621525124718554,8.411902805299524,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
15,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.39586323437276294,0.39586323437276294,0.0,41.099937915802,116228.0,"[0,1,2,3,4,16,37]","[12,16,20,21,23,24,25,33,34,36,42,46,52,60,65,78,79,82,92,99]",0.4637858737328664,"{""0"":0.9946062491843687,""1"":0.8831679887516792,""2"":0.9613090971614052,""3"":0.7912479774342571,""4"":0.9058220208612204,""16"":-0.24730952841596865,""37"":0.1901977680291334}",39.209114400328744,1.3615522636204707,8.38171449268652,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
16,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.5419306652910059,0.5419306652910059,0.0,11.39133095741272,16519.0,"[0,1,2,3,4,25,34,39,43]","[24,25,34,36,42,46,52,60,65,99]",0.36294683161745306,"{""0"":1.1612457844895794,""1"":0.822277064820769,""2"":0.8129570356008313,""3"":0.8737522639308558,""4"":0.8718985161476965,""25"":-0.2768485010996847,""34"":0.2086848013108068,""39"":0.20409299978013495,""43"":-0.18187238050808532}",54.17141942956932,1.3298038053340553,8.297397229124934,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
